id,name,type,portion,calories,fat,carbs,sugar,protein,vegan,vegetarian,keto,diabetic,pescatarian 
35,muenster,dairy,132g,486,40g,1.5g,1.5g,31g,0,1,1,1,1
36,parmesan,dairy,28g,119,7.9g,3.5g,0g,8.4g,0,1,1,1,1
37,parmigiano_reggiano,dairy,28g,110,8g,0g,0g,9g,0,1,1,1,1
38,pecorino,dairy,28g,110,9g,1g,0g,8g,0,1,1,1,1
39,pepper_jack_cheese,dairy,28g,110,9g,1g,0g,6g,0,1,1,1,1
40,provolone,dairy,132g,463,35g,2.8g,0.7g,34g,0,1,1,1,1
41,ricotta,dairy,246g,364,23g,15g,0.7g,24g,0,1,1,1,1
42,roquefort,dairy,28g,105,8.7g,0.6g,0g,6.1g,0,1,1,1,1
43,sheep_milk,dairy,245g,265,17g,13g,0g,15g,0,1,0,1,1
44,sour_cream,dairy,240,475,46g,11g,8.2g,5.9g,0,1,1,0,1
45,sour_milk,dairy,244g,122,4.8g,11.4g,12.3g,8.1g,0,1,0,0,1
46,swiss,dairy,108g,424,33g,1.6g,0g,29g,0,1,1,1,1
47,taleggio,dairy,28g,80,7g,0g,1g,5g,0,1,1,1,1
48,whey,dairy,34g,110,1g,10g,2g,20g,0,1,1,1,1
49,whipped_cream,dairy,40g,137,14g,3.4g,3.4g,1.1g,0,1,1,1,1
50,yogurt,dairy,170g,107,2.6g,12g,12g,8.9g,0,1,1,1,1
51,apple,fruit,125g,65,0.2g,17g,13g,0.3g,1,1,0,1,1
52,apricot,fruit,155g,74,0.6g,17g,14g,2.2g,1,1,0,1,1
53,avocado,fruit,230g,368,34g,20g,1.5g,4.6g,1,1,1,1,1
54,banana,fruit,225g,200,0.7g,51g,28g,2.5g,1,1,0,1,1
55,blackberry,fruit,144g,62,0.7g,14g,7g,2g,1,1,1,1,1
56,blueberry,fruit,148g,84,0.5g,21g,15g,1.1g,1,1,1,1,1
57,cherry,fruit,150g,95,0.3g,24g,19g,1.6g,1,1,0,1,1
58,clementine,fruit,200g,106,0.6g,27g,21g,1.6g,1,1,0,1,1
59,coconut,fruit,85g,301,28g,13g,5.3g,2.8g,1,1,0,1,1
60,crabapple,fruit,110g,84,0.3g,22g,0g,0.4g,1,1,1,1,1
61,cranberries,fruit,110g,51,0.1g,13g,4.7g,0.5g,1,1,1,1,1
62,currant,fruit,122g,63,0.2g,15g,8.3g,1.6g,1,1,0,1,1
63,date,fruit,160g,451,0.6g,120g,101g,3.9g,1,1,1,1,1
64,dragon_fruit,fruit,28g,74,0g,23g,23g,1g,1,1,0,1,1
65,durian,fruit,243g,357,13g,66g,0g,3.6g,1,1,0,1,1
